data_somministrazione,vaccinazioni,booster
2021-04-17,90521,0
2021-04-18,58597,0
2021-04-19,93433,0
2021-04-20,103774,0
2021-04-21,125344,0
2021-04-22,143522,0
2021-04-23,138748,0
2021-04-24,124455,0
2021-04-25,61465,0
2021-04-26,97902,0
2021-04-27,128366,0
2021-04-28,156387,0
2021-04-29,195610,0
2021-04-30,214601,0
2021-05-01,174133,0
2021-05-02,135803,0
2021-05-03,142058,0
2021-05-04,158704,0
2021-05-05,170527,0
2021-05-06,197820,0
2021-05-07,213865,0
2021-05-08,213438,0
2021-05-09,143217,0
2021-05-10,165095,0
2021-05-11,175001,0
2021-05-12,179206,0
2021-05-13,203405,0
2021-05-14,222940,0
2021-05-15,210379,0
2021-05-16,159283,0
2021-05-17,219211,0
2021-05-18,213029,0
2021-05-19,207095,0
2021-05-20,270882,0
2021-05-21,270907,0
2021-05-22,245534,0
2021-05-23,197185,0
2021-05-24,228307,0
2021-05-25,245701,0
2021-05-26,277508,0
2021-05-27,311091,0
2021-05-28,299581,0
2021-05-29,231243,0
2021-05-30,170850,0
2021-05-31,216433,0
2021-06-01,207635,0
2021-06-02,115802,0
2021-06-03,180163,0
2021-06-04,184900,0
2021-06-05,185983,0
2021-06-06,139571,0
2021-06-07,161889,0
2021-06-08,171268,0
2021-06-09,171510,0
2021-06-10,174135,0
2021-06-11,170007,0
2021-06-12,128353,0
2021-06-13,91213,0
2021-06-14,214703,0
2021-06-15,228441,0
2021-06-16,253101,0
2021-06-17,301761,0
2021-06-18,306314,0
2021-06-19,275108,0
2021-06-20,220805,0
2021-06-21,288085,0
2021-06-22,296240,0
2021-06-23,302697,0
2021-06-24,332610,0
2021-06-25,348724,0
2021-06-26,300135,0
2021-06-27,228680,0
2021-06-28,307138,0
2021-06-29,329322,0
2021-06-30,342192,0
2021-07-01,363240,0
2021-07-02,368484,0
2021-07-03,371100,0
2021-07-04,283227,0
2021-07-05,384557,0
2021-07-06,385486,0
2021-07-07,412129,0
2021-07-08,479596,0
2021-07-09,498476,0
2021-07-10,475174,0
2021-07-11,357698,0
2021-07-12,485889,0
2021-07-13,492088,0
2021-07-14,480447,0
2021-07-15,523435,0
2021-07-16,509756,0
2021-07-17,464330,0
2021-07-18,364638,0
2021-07-19,463047,0
2021-07-20,458061,0
2021-07-21,462792,0
2021-07-22,475382,0
2021-07-23,441324,0
2021-07-24,386147,0
2021-07-25,287557,0
2021-07-26,430889,0
2021-07-27,440123,0
2021-07-28,391023,0
2021-07-29,372079,0
2021-07-30,341515,0
2021-07-31,287038,0
2021-08-01,190999,0
2021-08-02,333702,0
2021-08-03,323190,0
2021-08-04,310982,0
2021-08-05,292490,0
2021-08-06,260024,0
2021-08-07,199058,0
2021-08-08,153107,0
2021-08-09,234084,0
2021-08-10,205267,0
2021-08-11,193782,0
2021-08-12,168052,0
2021-08-13,148645,0
2021-08-14,66098,0
2021-08-15,26340,0
2021-08-16,114707,0
2021-08-17,129256,0
2021-08-18,128764,0
2021-08-19,124837,0
2021-08-20,123797,0
2021-08-21,83136,0
2021-08-22,68176,0
2021-08-23,176869,0
2021-08-24,156898,0
2021-08-25,177175,0
2021-08-26,172363,0
2021-08-27,185835,0
2021-08-28,140285,0
2021-08-29,98989,0
2021-08-30,209593,0
2021-08-31,194642,0
2021-09-01,192212,0
2021-09-02,189929,0
2021-09-03,191289,0
2021-09-04,131454,0
2021-09-05,87854,0
2021-09-06,193616,0
2021-09-07,196034,0
2021-09-08,187873,0
2021-09-09,201435,0
2021-09-10,198067,0
2021-09-11,141291,0
2021-09-12,89593,0
2021-09-13,191114,626
2021-09-14,177224,631
2021-09-15,163086,637
2021-09-16,160061,978
2021-09-17,150167,1156
2021-09-18,127981,766
2021-09-19,81140,505
2021-09-20,180067,9116
2021-09-21,166663,8852
2021-09-22,159105,9456
2021-09-23,138090,9349
2021-09-24,140552,8998
2021-09-25,119562,5663
2021-09-26,71984,4358
2021-09-27,135665,10072
2021-09-28,117513,11415
2021-09-29,112365,11847
2021-09-30,110269,14976
2021-10-01,94991,19135
2021-10-02,78510,14040
2021-10-03,47757,7667
2021-10-04,88388,34475
2021-10-05,80382,34009
2021-10-06,72003,34196
2021-10-07,71879,34366
2021-10-08,80630,33620
2021-10-09,76110,22189
2021-10-10,45782,13629
2021-10-11,87447,41123
2021-10-12,84514,46926
2021-10-13,88210,52151
2021-10-14,91546,58547
2021-10-15,93597,55669
2021-10-16,82971,36816
2021-10-17,51461,23854
2021-10-18,90301,59511
2021-10-19,78351,69399
2021-10-20,75068,78198
2021-10-21,78302,81798
2021-10-22,73779,77067
2021-10-23,60832,51972
2021-10-24,33368,23477
2021-10-25,64904,81656
2021-10-26,58375,91829
2021-10-27,58321,104023
2021-10-28,61451,114149
2021-10-29,61640,103171
2021-10-30,50676,68136
2021-10-31,25163,28305
2021-11-01,19049,28157
2021-11-02,62739,89430
2021-11-03,60722,118690
2021-11-04,59241,126694
2021-11-05,63094,135217
2021-11-06,46483,90936
2021-11-07,22251,37903
2021-11-08,51530,131292
2021-11-09,45402,144233
2021-11-10,42592,156370
2021-11-11,44930,155163
2021-11-12,46312,158675
2021-11-13,33264,116673
2021-11-14,14492,52457
2021-11-15,36911,157442
2021-11-16,30565,171405
2021-11-17,28469,178457
2021-11-18,30293,193760
2021-11-19,28815,205879
2021-11-20,21003,156454
2021-11-21,10612,64868
2021-11-22,21954,213162
2021-11-23,23597,241785
2021-11-24,27798,271037
2021-11-25,23264,301925
2021-11-26,24593,318301
2021-11-27,21399,266170
2021-11-28,9905,137067
2021-11-29,22358,326075
2021-11-30,23110,365864
2021-12-01,21546,413526
2021-12-02,23782,440434
2021-12-03,25268,467518
2021-12-04,22387,418792
2021-12-05,11941,261364
2021-12-06,25838,457624
2021-12-07,24155,480298
2021-12-08,10023,249716
2021-12-09,31613,491956
2021-12-10,28093,517921
2021-12-11,23584,459270
2021-12-12,12315,293524
2021-12-13,26169,467648
2021-12-14,25198,494231
2021-12-15,25363,517187
2021-12-16,27916,520298
2021-12-17,29387,517211
2021-12-18,27091,468772
2021-12-19,15165,300539
2021-12-20,30663,477503
2021-12-21,30404,493421
2021-12-22,29475,484749
2021-12-23,28283,426945
2021-12-24,13125,210837
2021-12-25,2103,33053
2021-12-26,8772,159076
2021-12-27,46837,504685
2021-12-28,42495,554244
2021-12-29,34383,550672
2021-12-30,31875,499859
2021-12-31,14138,247405
2022-01-01,3498,64815
2022-01-02,22806,276724
2022-01-03,47913,520031
2022-01-04,46441,572099
2022-01-05,40805,560412
2022-01-06,23524,274489
2022-01-07,63771,554217
2022-01-08,60938,503408
2022-01-09,42925,319698
2022-01-10,61145,542317
2022-01-11,61808,587029
2022-01-12,58522,581301
2022-01-13,58682,580426
2022-01-14,46899,588604
2022-01-15,39502,569973
2022-01-16,31285,341888
2022-01-17,54829,489682
2022-01-18,58448,517045
2022-01-19,57248,502814
2022-01-20,54391,498853
2022-01-21,42144,493895
2022-01-22,31257,469612
2022-01-23,34970,275384
2022-01-24,56209,437240
2022-01-25,61583,452128
2022-01-26,58566,435842
2022-01-27,48873,432395
2022-01-28,58733,436554
2022-01-29,68162,412508
2022-01-30,50396,235983
2022-01-31,60670,356940
2022-02-01,65590,328459
2022-02-02,63234,296986
2022-02-03,60079,274526
2022-02-04,72395,268468
2022-02-05,83810,248547
2022-02-06,55303,116206
2022-02-07,65167,199945
2022-02-08,66945,186120
2022-02-09,58769,166343
2022-02-10,58593,163242
2022-02-11,62269,162470
2022-02-12,71997,152149
2022-02-13,41476,68854
2022-02-14,46703,116188
2022-02-15,48548,123480
2022-02-16,45683,106122
2022-02-17,42870,98116
2022-02-18,46629,112578
2022-02-19,52543,100337
2022-02-20,31411,40366
2022-02-21,37896,89655
2022-02-22,37224,83779
2022-02-23,33400,79409
2022-02-24,32560,78162
2022-02-25,34764,90713
2022-02-26,39159,89136
2022-02-27,22547,35857
2022-02-28,28481,81694
2022-03-01,22723,53942
2022-03-02,21956,50683
2022-03-03,22625,54947
2022-03-04,23238,62799
2022-03-05,23800,57951
2022-03-06,9471,17201
2022-03-07,15919,51391
2022-03-08,15480,48796
2022-03-09,13814,46519
2022-03-10,14053,52122
2022-03-11,15588,57267
2022-03-12,15507,56620
2022-03-13,5544,16851
2022-03-14,10526,46700
2022-03-15,10549,46895
2022-03-16,9481,41974
2022-03-17,9720,44874
2022-03-18,10158,49056
2022-03-19,9151,46534
2022-03-20,2607,11704
2022-03-21,7580,40224
2022-03-22,8447,37762
2022-03-23,7215,33700
2022-03-24,8258,38818
2022-03-25,8140,43669
2022-03-26,8127,41721
2022-03-27,2431,9682
2022-03-28,6112,35239
2022-03-29,5778,32530
2022-03-30,5566,30205
2022-03-31,5899,33182
2022-04-01,4349,25190
2022-04-02,4496,23275
2022-04-03,1049,4500
2022-04-04,3657,21544
2022-04-05,3756,22932
2022-04-06,4103,21852
2022-04-07,3968,23320
2022-04-08,4693,26713
2022-04-09,4383,23887
2022-04-10,892,4613
2022-04-11,3816,22688
2022-04-12,3365,21778
2022-04-13,3568,21335
2022-04-14,3485,23786
2022-04-15,3084,20619
2022-04-16,2149,11918
2022-04-17,63,348
2022-04-18,152,650
2022-04-19,3499,21980
2022-04-20,3510,20252
2022-04-21,2847,19790
2022-04-22,2927,20703
2022-04-23,2646,16219
2022-04-24,509,2334
2022-04-25,183,1165
2022-04-26,2759,17807
2022-04-27,2374,15793
2022-04-28,2360,15561
2022-04-29,2295,14847
2022-04-30,2123,11581
2022-05-01,113,531
2022-05-02,1451,9391
2022-05-03,1576,10319
2022-05-04,1745,10268
2022-05-05,1653,10285
2022-05-06,1702,10958
2022-05-07,1431,8568
2022-05-08,416,1521
2022-05-09,1027,8929
2022-05-10,1424,9548
2022-05-11,1484,10104
2022-05-12,1369,10131
2022-05-13,1596,10519
2022-05-14,1357,8236
2022-05-15,336,1133
2022-05-16,813,8405
2022-05-17,1243,8697
2022-05-18,1372,9232
2022-05-19,1500,9278
2022-05-20,1422,9529
2022-05-21,1300,7900
2022-05-22,231,1014
2022-05-23,830,8267
2022-05-24,1073,8672
2022-05-25,1370,9460
2022-05-26,1195,9478
2022-05-27,1232,9915
2022-05-28,1205,7887
2022-05-29,288,1264
2022-05-30,930,8056
2022-05-31,1036,8547
2022-06-01,891,7655
2022-06-02,35,474
2022-06-03,818,7333
2022-06-04,870,5161
2022-06-05,89,586
2022-06-06,678,6993
2022-06-07,952,7849
2022-06-08,980,7908
2022-06-09,1037,8415
2022-06-10,958,8564
2022-06-11,903,6207
2022-06-12,140,768
2022-06-13,602,6301
2022-06-14,830,7899
2022-06-15,957,7854
2022-06-16,730,7395
2022-06-17,723,7243
2022-06-18,777,5593
2022-06-19,48,522
2022-06-20,587,6699
2022-06-21,736,7666
2022-06-22,781,7308
2022-06-23,652,7468
2022-06-24,644,7473
2022-06-25,835,6535
2022-06-26,128,523
2022-06-27,533,7124
2022-06-28,746,8207
2022-06-29,756,7731
2022-06-30,745,8144
2022-07-01,577,6443
2022-07-02,536,4770
2022-07-03,49,456
2022-07-04,469,6276
2022-07-05,629,8118
2022-07-06,633,7611
2022-07-07,572,8271
2022-07-08,672,8083
2022-07-09,550,6104
2022-07-10,58,533
2022-07-11,487,7638
2022-07-12,667,9029
2022-07-13,641,10067
2022-07-14,636,10223
2022-07-15,625,10665
2022-07-16,522,7214
2022-07-17,48,770
2022-07-18,497,9368
2022-07-19,574,10682
2022-07-20,580,11274
2022-07-21,628,12088
2022-07-22,583,11257
2022-07-23,381,6772
2022-07-24,76,857
2022-07-25,503,9051
2022-07-26,519,9759
2022-07-27,552,10202
2022-07-28,530,10535
2022-07-29,510,9464
2022-07-30,382,5881
2022-07-31,49,764
2022-08-01,386,6864
2022-08-02,540,7584
2022-08-03,511,7176
2022-08-04,456,7488
2022-08-05,420,6526
2022-08-06,299,3612
2022-08-07,44,561
2022-08-08,402,4892
2022-08-09,382,5308
2022-08-10,382,4816
2022-08-11,366,4778
2022-08-12,292,3720
2022-08-13,143,1600
2022-08-14,9,129
2022-08-15,1,26
2022-08-16,283,3043
2022-08-17,352,3536
2022-08-18,391,4160
2022-08-19,341,3320
2022-08-20,183,1715
2022-08-21,24,149
2022-08-22,330,2951
2022-08-23,370,3674
2022-08-24,383,3359
2022-08-25,421,3773
2022-08-26,399,3573
2022-08-27,237,1769
2022-08-28,29,267
2022-08-29,354,3161
2022-08-30,403,3671
2022-08-31,437,3734
2022-09-01,353,3116
2022-09-02,296,2891
2022-09-03,200,1688
2022-09-04,23,149
2022-09-05,187,2656
2022-09-06,303,2982
2022-09-07,540,2936
2022-09-08,291,2962
2022-09-09,305,2884
2022-09-10,227,1326
2022-09-11,23,124
2022-09-12,267,2263
2022-09-13,252,2276
2022-09-14,265,2565
2022-09-15,281,2495
2022-09-16,254,2544
2022-09-17,239,1339
2022-09-18,20,170
2022-09-19,206,1969
2022-09-20,236,2384
2022-09-21,289,2526
2022-09-22,263,2651
2022-09-23,258,2538
2022-09-24,193,1427
2022-09-25,29,133
2022-09-26,280,2248
2022-09-27,287,2682
2022-09-28,309,2896
2022-09-29,256,3045
2022-09-30,290,2983
2022-10-01,194,1515
2022-10-02,12,187
2022-10-03,182,2473
2022-10-04,236,2865
2022-10-05,228,3218
2022-10-06,242,3846
2022-10-07,282,4165
2022-10-08,202,2235
2022-10-09,8,304
2022-10-10,207,3337
2022-10-11,191,4350
2022-10-12,209,4415
2022-10-13,200,5296
2022-10-14,229,5021
2022-10-15,188,2670
2022-10-16,6,360
2022-10-17,186,3863
2022-10-18,256,4955
2022-10-19,241,5462
2022-10-20,222,5989
2022-10-21,249,5462
2022-10-22,193,2907
2022-10-23,13,356
2022-10-24,171,3915
2022-10-25,252,4913
2022-10-26,340,5471
2022-10-27,239,5627
2022-10-28,199,5237
2022-10-29,127,2835
2022-10-30,3,326
2022-10-31,116,3025
2022-11-01,10,327
2022-11-02,143,3674
2022-11-03,170,4746
2022-11-04,219,4561
2022-11-05,143,2577
2022-11-06,10,258
2022-11-07,160,3200
2022-11-08,260,4190
2022-11-09,196,4260
2022-11-10,180,4482
2022-11-11,189,4163
2022-11-12,152,2335
2022-11-13,7,329
2022-11-14,149,2776
2022-11-15,186,3600
2022-11-16,200,3675
2022-11-17,82,1655
